Date,Opponent,Result
9/8/15,at D-backs,1
9/9/15,at D-backs,0
9/11/15,Padres,1
9/12/15,Padres,1
9/13/15,Padres,1
9/14/15,Reds,1
9/15/15,Reds,0
9/16/15,Reds,1
9/18/15,D-backs,0
9/19/15,D-backs,0
9/20/15,D-backs,1
9/22/15,at Padres,1
9/23/15,at Padres,0
9/24/15,at Padres,0
9/25/15,at Athletics,0
9/26/15,at Athletics,1
9/27/15,at Athletics,1
9/28/15,Dodgers,1
9/29/15,Dodgers,0
9/30/15,Dodgers,1
10/1/15,Dodgers,0
10/2/15,Rockies,0
10/3/15,Rockies,1
10/4/15,Rockies,0
4/4/16,at Brewers,1
4/5/16,at Brewers,1
4/6/16,at Brewers,0
4/7/16,Dodgers,1
4/8/16,Dodgers,1
4/9/16,Dodgers,0
4/10/16,Dodgers,1
4/12/16,at Rockies,1
4/13/16,at Rockies,0
4/14/16,at Rockies,0
4/15/16,at Dodgers,0
4/16/16,at Dodgers,1
4/17/16,at Dodgers,0
4/18/16,D-backs,0
4/19/16,D-backs,0
4/20/16,D-backs,0
4/21/16,D-backs,0
4/22/16,Marlins,1
4/23/16,Marlins,1
4/24/16,Marlins,0
4/25/16,Padres,1
4/26/16,Padres,1
4/27/16,Padres,1
4/29/16,at Mets,0
4/30/16,at Mets,0
5/1/16,at Mets,1
5/2/16,at Reds,1
5/3/16,at Reds,1
5/4/16,at Reds,0
5/5/16,Rockies,0
5/6/16,Rockies,1
5/7/16,Rockies,1
5/8/16,Rockies,0
5/9/16,Blue Jays,0
5/10/16,Blue Jays,0
5/11/16,Blue Jays,1
5/12/16,at D-backs,1
5/13/16,at D-backs,1
5/14/16,at D-backs,1
5/15/16,at D-backs,1
5/17/16,at Padres,1
5/18/16,at Padres,1
5/19/16,at Padres,1
5/20/16,Cubs,0
5/21/16,Cubs,1
5/22/16,Cubs,1
5/23/16,Padres,1
5/24/16,Padres,1
5/25/16,Padres,1
5/27/16,at Rockies,0
5/28/16,at Rockies,1
5/29/16,at Rockies,1
5/30/16,at Braves,0
5/31/16,at Braves,1
6/1/16,at Braves,0
6/2/16,at Braves,1
6/3/16,at Cardinals,1
6/4/16,at Cardinals,0
6/5/16,at Cardinals,0
6/7/16,Red Sox,0
6/8/16,Red Sox,1
6/10/16,Dodgers,0
6/11/16,Dodgers,1
6/12/16,Dodgers,1
6/13/16,Brewers,1
6/14/16,Brewers,1
6/15/16,Brewers,1
6/17/16,at Rays,1
6/18/16,at Rays,1
6/19/16,at Rays,1
6/20/16,at Pirates,0
6/21/16,at Pirates,1
6/22/16,at Pirates,1
6/23/16,at Pirates,1
6/24/16,Phillies,1
6/25/16,Phillies,0
6/26/16,Phillies,1
6/27/16,Athletics,0
6/28/16,Athletics,0
6/29/16,at Athletics,0
6/30/16,at Athletics,1
7/1/16,at D-backs,1
7/2/16,at D-backs,0
7/3/16,at D-backs,1
7/4/16,Rockies,1
7/5/16,Rockies,0
7/6/16,Rockies,1
7/8/16,D-backs,1
7/9/16,D-backs,1
7/10/16,D-backs,1
7/15/16,at Padres,0
7/16/16,at Padres,0
7/17/16,at Padres,0
7/19/16,at Red Sox,0
7/20/16,at Red Sox,0
7/22/16,at Yankees,0
7/23/16,at Yankees,1
7/24/16,at Yankees,0
7/25/16,Reds,0
7/26/16,Reds,1
7/27/16,Reds,0
7/28/16,Nationals,0
7/29/16,Nationals,0
7/30/16,Nationals,1
7/31/16,Nationals,1
8/2/16,at Phillies,0
8/3/16,at Phillies,0
8/4/16,at Phillies,1
8/5/16,at Nationals,0
8/6/16,at Nationals,1
8/7/16,at Nationals,0
8/8/16,at Marlins,1
8/9/16,at Marlins,0
8/10/16,at Marlins,1
8/12/16,Orioles,0
8/13/16,Orioles,1
8/14/16,Orioles,0
8/15/16,Pirates,0
8/16/16,Pirates,0
8/17/16,Pirates,0
8/18/16,Mets,1
8/19/16,Mets,1
8/20/16,Mets,0
8/21/16,Mets,0
8/23/16,at Dodgers,0
8/24/16,at Dodgers,0
8/25/16,at Dodgers,1
8/26/16,Braves,1
8/27/16,Braves,0
8/28/16,Braves,1
8/30/16,D-backs,0
8/31/16,D-backs,1
